Class 1,Class 2,Fisher Score
C,Y,0.0001980933989062017
C,Z,0.0001619411182225505
D,E,0.00015242764627648617
D,F,0.00021960379716458753
D,G,5.943678831548445e-05
D,H,9.637510941550194e-05
D,I,0.00033737158949896195
D,J,0.0002308985021233804
D,K,0.00016906059577548817
D,L,0.00026136360670755694
D,M,0.00014013871202782948
D,N,0.00012975214377763277
D,O,2.934650171091383e-05
D,P,0.00014178212505768637
D,Q,7.784260017494585e-05
D,R,8.914122205594711e-05
D,S,0.00012845036598884145
D,T,0.0003389212097999711
D,U,4.3270572023614556e-05
D,V,0.00015962777208322122
D,W,0.0001648397412563204
D,X,0.0002796481269208851
D,Y,0.00025940191743047353
D,Z,0.00019994003710133322
E,F,0.00010717553715822193
E,G,0.00011046138057846639
E,H,0.00016946443906697557
E,I,0.0001743319382784523
E,J,0.0001787296081522396
E,K,0.0001047035774059175
E,L,0.00014089025422953718
E,M,0.00022850283765639978
E,N,0.00019819941598496463
E,O,0.00019230552065036753
E,P,0.00017058066086686027
E,Q,0.000151019804108023
E,R,0.00010508719604306963
E,S,8.589560144343737e-05
E,T,0.00022944206274657142
E,U,0.0001513319035542766
E,V,0.00013896470497669526
E,W,0.0002160053093548574
E,X,0.00014838706724074882
E,Y,0.00016533067860090568
E,Z,0.00010494122980464307
F,G,0.00020626593584959827
F,H,0.0002318915742520971
F,I,0.00012795512805615207
F,J,0.00013538643231871808
F,K,0.00014224176419422462
F,L,0.00012778057345554122
F,M,0.0002066263099270912
F,N,0.00022246014374530874
F,O,0.0002477856506238019
F,P,5.911592954699119e-05
F,Q,0.00017123530975039712
F,R,0.00014805224707577737
F,S,0.00015990194091612355
F,T,0.00010663546016877045
F,U,0.0001985556940178677
F,V,0.00012092237187966818
F,W,0.00016896050711130047
F,X,0.00015192426342748575
F,Y,0.00010609165362239075
F,Z,0.00018520915859418036
G,H,0.00010082913272771946
G,I,0.0002603191527253955
G,J,0.00017688274125915505
G,K,0.00014769657911438706
G,L,0.00020515435274662415
G,M,0.00014394526288243466
G,N,0.00013055074924754956
G,O,4.09007772558686e-05
G,P,0.00019033564603917197
G,Q,5.798311423699312e-05
G,R,0.00010934712621415348
G,S,7.993134485805547e-05
G,T,0.00029916118662948746
