Train Accuracy,Test Accuracy
0.9997514292816306,0.9953623188405797
0.9880686055182699,0.9866666666666667
0.9992542878448919,0.9959420289855072
0.9992542878448919,0.9959420289855072
1.0,0.9947826086956522
0.9987571464081532,0.9959420289855072
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9947826086956522
0.9997514292816306,0.9959420289855072
1.0,0.9947826086956522
0.9997514292816306,0.9965217391304347
1.0,0.9942028985507246
1.0,0.9953623188405797
1.0,0.9959420289855072
1.0,0.9965217391304347
1.0,0.9942028985507246
1.0,0.9959420289855072
0.9992542878448919,0.9965217391304347
1.0,0.9947826086956522
1.0,0.9947826086956522
1.0,0.9947826086956522
1.0,0.9947826086956522
1.0,0.9947826086956522
1.0,0.9959420289855072
1.0,0.9936231884057971
1.0,0.9953623188405797
1.0,0.9959420289855072
1.0,0.9959420289855072
1.0,0.9953623188405797
1.0,0.9947826086956522
1.0,0.9953623188405797
1.0,0.9947826086956522
0.9950285856326124,0.9901449275362318
1.0,0.9953623188405797
1.0,0.9959420289855072
1.0,0.9936231884057971
1.0,0.9959420289855072
1.0,0.9959420289855072
0.9992542878448919,0.9959420289855072
0.9997514292816306,0.9953623188405797
1.0,0.9947826086956522
1.0,0.9953623188405797
1.0,0.9942028985507246
1.0,0.9953623188405797
1.0,0.9965217391304347
1.0,0.9959420289855072
1.0,0.9953623188405797
1.0,0.9959420289855072
1.0,0.9942028985507246
1.0,0.9936231884057971
1.0,0.9942028985507246
0.990057171265225,0.984927536231884
1.0,0.9959420289855072
1.0,0.9965217391304347
1.0,0.9959420289855072
1.0,0.9947826086956522
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9947826086956522
1.0,0.9947826086956522
1.0,0.9953623188405797
1.0,0.9959420289855072
1.0,0.9942028985507246
0.9997514292816306,0.9959420289855072
0.9997514292816306,0.9947826086956522
0.9987571464081532,0.9924637681159421
1.0,0.9947826086956522
0.9942828734775043,0.9895652173913043
1.0,0.9959420289855072
1.0,0.9942028985507246
1.0,0.9936231884057971
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9942028985507246
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9947826086956522
1.0,0.9947826086956522
0.9997514292816306,0.9947826086956522
1.0,0.9942028985507246
1.0,0.9959420289855072
1.0,0.9942028985507246
1.0,0.9953623188405797
1.0,0.9947826086956522
0.9970171513795675,0.991304347826087
1.0,0.9959420289855072
1.0,0.9971014492753624
1.0,0.9947826086956522
1.0,0.9942028985507246
1.0,0.9965217391304347
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9953623188405797
1.0,0.9942028985507246
